1.0,0.459,97.2,7.0,5.0,1.0,1.0,3.0,23.0,4.0,4.0,15.0,2.25,73.0,1.0,1.0
2.0,0.449,96.0,1.0,0.0,0.0,1.0,8.0,14.0,5.0,2.0,7.0,2.18,2.0,0.0,0.0
3.0,0.447,94.7,7.0,2.0,2.0,3.0,13.0,10.0,4.0,1.0,5.0,2.13,17.0,6.0,8.0
4.0,0.452,93.6,2.0,0.0,0.0,2.0,18.0,11.0,3.0,0.0,8.0,1.99,3.0,0.0,0.0
5.0,0.444,92.9,6.0,1.0,1.0,4.0,23.0,10.0,3.0,1.0,6.0,2.15,9.0,3.0,1.0
6.0,0.431,91.4,2.0,0.0,1.0,1.0,28.5,7.0,3.0,0.0,4.0,2.56,7.0,0.0,6.0
7.0,0.433,89.4,3.0,2.0,0.0,1.0,,,,,,,16.0,6.0,0.0
8.0,0.452,88.0,2.0,2.0,0.0,0.0,,,,,,,2.0,2.0,0.0
9.0,0.436,86.4,5.0,0.0,1.0,4.0,,,,,,,11.0,0.0,6.0
10.0,0.426,84.4,2.0,1.0,0.0,1.0,,,,,,,3.0,1.0,0.0
11.0,0.425,82.3,1.0,0.0,0.0,1.0,,,,,,,2.0,0.0,0.0
12.0,0.43,80.9,2.0,2.0,0.0,0.0,,,,,,,4.0,4.0,0.0
13.0,0.426,79.5,3.0,2.0,0.0,1.0,,,,,,,13.0,12.0,0.0
14.0,0.43,77.7,2.0,0.0,1.0,1.0,,,,,,,3.0,0.0,1.0
15.0,0.417,75.4,2.0,0.0,0.0,2.0,,,,,,,5.0,0.0,0.0
16.0,0.372,72.2,2.0,0.0,0.0,2.0,,,,,,,2.0,0.0,0.0
17.0,0.401,68.9,2.0,0.0,0.0,2.0,,,,,,,2.0,0.0,0.0
18.0,0.389,66.2,5.0,2.0,0.0,3.0,,,,,,,22.0,6.0,0.0
19.0,0.418,63.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
20.0,0.414,60.3,2.0,1.0,0.0,1.0,,,,,,,2.0,1.0,0.0
21.0,0.397,56.7,1.0,0.0,0.0,1.0,,,,,,,4.0,0.0,0.0
22.0,0.443,52.8,2.0,0.0,0.0,2.0,,,,,,,36.0,0.0,0.0
23.0,0.436,48.0,4.0,2.0,0.0,2.0,,,,,,,10.0,7.0,0.0
24.0,0.431,43.9,1.0,0.0,0.0,1.0,,,,,,,1.0,0.0,0.0
25.0,0.439,41.0,2.0,1.0,1.0,0.0,,,,,,,6.0,4.0,2.0
26.0,0.43,38.1,1.0,0.0,0.0,1.0,,,,,,,1.0,0.0,0.0
27.0,0.425,34.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
28.0,0.419,28.8,2.0,1.0,0.0,1.0,,,,,,,7.0,5.0,0.0
29.0,0.426,25.5,1.0,0.0,0.0,1.0,,,,,,,1.0,0.0,0.0
30.0,0.424,23.4,2.0,1.0,0.0,1.0,,,,,,,2.0,1.0,0.0
31.0,0.436,20.0,1.0,1.0,0.0,0.0,,,,,,,7.0,7.0,0.0
