38.0,4.52,124.98,0,1,1,0,1,0,0,0,0,0
33.0,2.42,9.85,1,0,1,0,1,0,0,0,0,0
34.0,4.5,15.0,0,1,1,0,1,0,0,0,0,0
31.0,2.54,137.87,1,0,1,0,1,0,0,0,0,0
32.0,9.79,546.5,0,1,1,0,1,0,0,0,0,0
23.0,2.5,92.0,1,0,1,0,1,0,0,0,0,0
28.0,3.96,40.83,1,0,1,0,1,0,0,0,0,0
29.0,2.37,150.79,0,1,1,0,1,0,0,0,0,0
37.0,3.8,777.82,0,1,1,0,1,0,0,0,0,0
28.0,3.2,52.58,1,0,1,0,1,0,0,0,0,0
31.0,3.95,256.66,0,1,1,0,1,0,0,0,0,0
42.0,1.98,0.0,0,1,1,0,1,0,0,0,0,0
30.0,1.73,0.0,0,1,1,0,1,0,0,0,0,0
29.0,2.45,78.87,0,1,1,0,1,0,0,0,0,0
35.0,1.91,42.62,0,1,1,0,1,0,0,0,0,0
41.0,3.2,335.43,0,1,1,0,1,0,0,0,0,0
40.0,4.0,248.72,0,1,1,0,1,0,0,0,0,0
30.0,3.0,0.0,0,1,1,0,0,0,0,0,0,1
40.0,10.0,548.03,0,1,0,1,1,0,0,0,0,0
46.0,3.4,0.0,1,0,1,0,0,0,0,1,0,0
35.0,2.35,43.34,0,1,1,0,1,0,0,0,0,0
25.0,1.88,0.0,1,0,1,0,0,1,0,0,0,0
34.0,2.0,218.52,0,1,1,0,1,0,0,0,0,0
36.0,4.0,170.64,1,0,1,0,0,1,0,0,0,0
43.0,5.14,37.58,0,1,1,0,1,0,0,0,0,0
30.0,4.51,502.2,1,0,1,0,1,0,0,0,0,0
22.0,3.84,0.0,1,0,0,1,1,0,0,0,0,0
22.0,1.5,73.18,1,0,1,0,1,0,0,0,0,0
34.0,2.5,0.0,0,1,1,0,1,0,0,0,0,0
40.0,5.5,1532.77,0,1,1,0,1,0,0,0,0,0
22.0,2.03,42.69,1,0,1,0,1,0,0,0,0,0
29.0,3.2,417.83,1,0,1,0,0,1,0,0,0,0
