dataset,can_cor.mean,can_cor.sd,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,g_mean.mean,g_mean.sd,gravity,h_mean.mean,h_mean.sd,iq_range.mean,iq_range.sd,kurtosis.mean,kurtosis.sd,lh_trace,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,nr_cor_attr,nr_disc,nr_norm,nr_outliers,p_trace,range.mean,range.sd,roy_root,sd.mean,sd.sd,sd_ratio,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t_mean.mean,t_mean.sd,var.mean,var.sd,w_lambda
1,0.7161331909126656,,0.0040759599372899,0.0025887570048642,0.002810324856649,0.0017371010527994,0.7001563372508751,0.1058699505318077,,,1.3618937017969652,,,2.0,0.0,-1.5503368772438155,0.1579766418123921,1.052742117807839,1.33434,0.4688392858965639,1.0,0.0,0.0020064756671899,0.0039153317252065,0.1,0.3162277660168379,-1.0,0.0,0.0,1.0,0.0,0.0,0.5128467471267564,2.0,0.0,1.052742117807839,0.8349423976267195,0.0579993285039733,,-0.0038206586683283,0.0074233580431151,0.3499840557313513,0.0527059204952308,0.0033439620636088,0.0065252327599223,0.7001563372508756,0.1053563596891382,0.4871532528732436
2,0.6214788661381935,,0.6180890260384997,0.2793839152809647,0.0330949942296221,0.0333852445120931,0.101237041232866,0.183460486844238,0.2146112485379648,0.2347682558382987,0.7874667500865636,0.1561491191900997,0.1842138399497324,0.4730999999999999,0.4054515178579719,7.262806104551084,24.129134262829595,0.6292906868688825,0.1280966399999999,0.1601660952600642,1.16735,0.6255472293209451,0.3678923868805362,0.1965013941385652,0.26505,0.2647489848894609,0.0135,0.0275580196030927,0.6666666666666667,1.0,0.0,7.0,0.3862359810564146,1.1538499999999998,0.63526027255676,0.6292906868688825,0.2634800056984691,0.1880169254496956,,0.6468332982566813,1.024701009900814,0.1537341560505677,0.238934002569151,0.3300370961308336,0.2048041926613393,0.101237041232866,0.1086595671112309,0.6137640189435853
3,0.7565209728649205,,0.2253984120880753,0.3502777289799359,0.8571529501982914,10.157901294729198,1712.5614829092597,10703.64766536633,,,35.32179446601601,,,9.8018,53.18673893291398,916.396077672967,2080.582681320197,1.3382185551938333,7.210217385,39.19543073961213,28.497475,154.69296895910938,-0.8504005054545454,3.107633455679291,-1.1077750000000002,4.186992932866235,-29.3243,154.4628781544415,0.1807692307692307,1.0,1.0,39.0,0.5723239823844858,57.82177500000002,309.1149020311336,1.3382185551938333,7.591278589244387,41.19912834887924,,-4.556913388971333,16.99118165719825,0.0689994077639673,0.0903158094908683,-0.9741328,3.5807015366735837,1712.5614829092597,10703.453738347269,0.4276760176155142
4,1.0,,0.1121896889591212,0.1638163975867763,256.47668759811614,715.4237989863283,21771878.571397163,78499623.95578428,86.06028295952652,310.2947629915126,14811.225042197726,4.805457538125156,17.3263235557752,689.3269230769231,2484.8026694467594,0.2828505566204048,2.046159630286583,inf,182.24575384615383,656.6510024831704,6334.307692307692,22835.0656279059,695.3861538461541,2506.3490486148,126.23076923076924,454.8310865669719,0.2307692307692307,0.8320502943378437,0.0128205128205128,1.0,0.0,11.0,1.0,6334.076923076923,22834.233577611554,inf,1294.5136599961045,4665.917812724958,,1.3145367173346163,0.6549604967848561,0.4521193092621663,0.1358449460143418,221.2948717948718,797.5895664143253,21771878.571397163,78499623.90849973,0.0
5,0.5714318947962509,,0.0909090909090911,0.1213698468757367,0.0145761411584196,0.0194601442248016,2.8787878787878785,9.016436156244684,0.7208133495331951,2.390667424280907,1.3134755733945245,0.4868656931448489,1.614750827457771,0.9090909090909092,3.015113445777636,0.1044629403173002,0.4373542022877567,0.4848568589521225,0.6739090909090909,2.235103597354962,2.636363636363636,5.427204202399745,1.0909090909090908,2.9548111768620835,0.9090909090909092,3.015113445777636,0.0909090909090909,0.3015113445777636,0.0,1.0,0.0,10.0,0.3265344103904335,2.5454545454545454,5.125692857821981,0.4848568589521225,0.8624743073890592,1.5324550703592603,,1.3593324107681666,0.4508395571887271,0.4581894898350594,0.1351712251535332,0.9090909090909092,3.015113445777636,2.8787878787878785,9.016079742711437,0.6734655896095664
6,0.614999060391346,,0.0909090909090911,0.1213698468757367,0.0145761411584196,0.0194601442248016,2.8787878787878785,9.016436156244684,0.7208133495331951,2.390667424280907,0.868216742979264,0.4868656931448489,1.614750827457771,0.9090909090909092,3.015113445777636,0.1044629403173002,0.4373542022877567,0.6082958325180982,0.6739090909090909,2.235103597354962,2.636363636363636,5.427204202399745,1.0909090909090908,2.9548111768620835,0.9090909090909092,3.015113445777636,0.0909090909090909,0.3015113445777636,0.0,1.0,0.0,10.0,0.3782238442822384,2.5454545454545454,5.125692857821981,0.6082958325180982,0.8624743073890592,1.5324550703592603,,1.3593324107681666,0.4508395571887271,0.4581894898350594,0.1351712251535332,0.9090909090909092,3.015113445777636,2.8787878787878785,9.016079742711437,0.6217761557177616
7,0.5490990763137673,,0.0909090909090911,0.1213698468757367,0.0145778497671593,0.0194624253341938,2.5981980157926703,8.085803642132904,0.6866530785551641,2.277370622709911,1.1695772521689416,0.4681868485188873,1.5528001083161098,0.8181818181818182,2.7136021011998723,0.1036661440688268,0.4374809215028531,0.431659304186455,0.6065181818181817,2.011593237619466,2.5454545454545454,5.125692857821981,1.0454545454545452,2.804055504573202,0.8636363636363636,2.864357773488755,0.0909090909090909,0.3015113445777636,0.0,1.0,0.0,10.0,0.3015097956086324,2.4545454545454546,4.824181513244217,0.431659304186455,0.8362139590215719,1.445281513610118,,1.3590934352794932,0.4507602979857249,0.4583923871228993,0.1343034942439927,0.8636363636363636,2.864357773488755,2.5981980157926707,8.085406112223971,0.6984902043913676
8,0.7006936972693598,,0.4997175596331217,0.2773350996153225,4.598501322362621,6.009035036883623,1151.8700558330884,2575.158557353281,24.553642776428813,54.90361434334149,33.83940809420586,19.09205699909938,42.69113728028686,26.3,56.57251983074468,-1.8039503270627344,0.295721166743864,0.964527151628705,19.86684,44.42360473811192,60.8,133.7168650544874,29.814457831325303,65.54916278681634,28.0,61.49390213671596,6.0,13.41640786499874,0.2,1.0,0.0,0.0,0.4909716573930052,54.8,120.30045718948868,0.964527151628705,15.574704460440458,33.71384427803778,,0.0048366311326908,0.2969483199420495,0.3958962446767324,0.2191485127774184,29.88627450980392,65.7098193096748,1151.870055833088,2575.1064786098536,0.5090283426069948
9,0.9509756634363185,,0.1484238902503684,0.1155462716416945,5.460666436075887,13.537410787282724,50.917968485848576,174.7211759165325,4.390547753420648,13.163716628685128,47.22936756681578,4.016060453824013,12.316659200292657,7.1571428571428575,6.868613163578967,2.3253142913452103,3.630128984082674,9.455298170940717,4.998479999999997,4.579578569485074,34.4,30.42758092848362,10.12524205877357,13.369742790633518,9.2,12.729743784208472,0.8285714285714286,3.4261205871120057,0.0078674948240165,1.0,1.0,68.0,0.9043547124481458,33.57142857142857,28.01737112732257,9.455298170940717,5.356526083946353,4.748442575873746,,1.110728918783191,0.680273120614929,0.0488234358962868,0.0284087312033846,9.431145685997173,12.958362044555528,50.91796848584856,124.96869779446948,0.0956452875518541
10,1.0,,0.0338499023042095,0.054376636223335,2.092338436995808,43.7662491721028,199.6137231388201,1155.666948180813,,,112.60129217861753,,,2.9086590909090906,11.782998288235635,39.84386371667906,10.711094543737635,inf,2.19750972,8.980470297798309,6.7305090909090906,21.28662651357936,-0.2171229090909088,9.101834540667074,-0.0126272727272726,7.003037251937204,-11.981309090909091,61.71594030984718,0.0026936026936026,1.0,0.0,55.0,1.0,18.711818181818185,73.66694253570543,inf,3.5329671312482533,13.80569706032466,,6.053673449903545,2.050289488592271,0.4453305440914769,0.1419078636983458,0.1379939393939393,6.713422641065864,199.6137231388201,1109.0737596842994,0.0
