1.0,209.0,13.0,41.0,8.0,0,1,0,1
2.0,209.0,13.0,44.0,8.0,0,1,0,1
3.0,209.0,13.0,47.0,10.0,0,1,0,1
4.0,209.0,13.0,34.0,10.0,0,1,0,1
5.0,38.0,13.0,40.0,11.0,0,1,0,1
6.0,209.0,13.0,42.0,11.0,0,1,0,1
7.0,140.9,13.0,41.0,12.0,0,1,0,1
8.0,140.9,13.0,30.0,12.0,0,1,0,1
9.0,140.1,1.0,45.0,4.0,0,1,0,1
10.0,208.0,1.0,47.0,5.0,0,1,0,1
11.0,140.1,1.0,44.0,5.0,0,1,0,1
12.0,39.3,1.0,37.0,5.0,0,1,0,1
13.0,45.3,1.0,44.0,6.0,0,1,0,1
14.0,50.3,1.0,44.0,6.0,0,1,0,1
15.0,139.1,6.0,46.0,8.0,0,1,0,1
16.0,279.0,6.0,49.0,8.0,0,1,0,1
17.0,92.0,6.0,39.0,9.0,0,1,0,1
18.0,207.0,6.0,46.0,9.0,0,1,0,1
19.0,207.0,6.0,43.0,9.0,0,1,0,1
20.0,139.8,6.0,44.0,10.0,0,1,0,1
21.0,139.8,6.0,50.0,10.0,0,1,0,1
22.0,66.5,2.0,31.0,3.0,0,1,0,1
23.0,397.0,2.0,52.0,3.0,0,1,0,1
24.0,32.3,2.0,47.0,3.0,0,1,0,1
25.0,44.3,2.0,40.0,4.0,0,1,0,1
26.0,1200.0,2.0,48.0,5.0,1,0,0,1
27.0,85.0,2.0,48.0,5.0,0,1,0,1
28.0,28.2,2.0,48.0,7.0,0,1,0,1
29.0,228.0,2.0,51.0,1.0,0,1,0,1
30.0,136.3,2.0,29.0,1.0,0,1,0,1
31.0,44.9,3.0,47.0,12.0,0,1,0,1
32.0,42.1,3.0,50.0,14.0,0,1,0,1
33.0,55.7,3.0,41.0,14.0,0,1,0,1
34.0,42.1,3.0,40.0,14.0,0,1,0,1
35.0,40.1,3.0,45.0,15.0,0,1,0,1
36.0,44.8,3.0,40.0,15.0,0,1,0,1
37.0,19.9,3.0,48.0,16.0,0,1,0,1
38.0,21.1,3.0,36.0,17.0,0,1,0,1
39.0,65.7,4.0,43.0,4.0,0,1,0,1
40.0,44.1,4.0,42.0,4.0,0,1,0,1
41.0,19.4,4.0,32.0,5.0,0,1,0,1
42.0,44.1,4.0,36.0,5.0,0,1,0,1
43.0,50.3,4.0,32.0,6.0,0,1,0,1
44.0,16.4,4.0,34.0,6.0,0,1,0,1
45.0,157.4,5.0,46.0,3.0,0,1,0,1
