35.0,250.0,48.0003,5.521461,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
25.0,218.75,52.2,5.38793,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
37.0,1875.0,163.5,7.536364,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
29.0,781.25,87.0,6.660895,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
54.0,562.5,21.0,6.332391,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
34.0,218.75,60.0,5.38793,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
40.0,468.75,56.4,6.15007,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
32.0,2187.5,48.0003,7.690515,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
62.0,781.25,56.4,6.660895,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
36.0,937.5,48.0003,6.843217,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
62.0,,48.0,,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
52.0,625.0,48.0,6.437752,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
42.0,1250.0,82.2,7.130899,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
62.0,198.019802,48.0003,5.288367,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41.0,1485.148515,303.6,7.30327,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
54.0,1237.623762,48.0003,7.120948,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
19.0,2351.485149,170.4,7.762802,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
42.0,198.019802,48.0003,5.288367,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
28.0,222.772277,60.0,5.40615,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
47.0,990.09901,48.0003,6.897805,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
30.0,742.574257,48.0003,6.610123,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
58.0,148.514852,52.2,5.000685,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
37.0,742.574257,48.0003,6.610123,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
38.0,1237.623762,112.5,7.120948,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
42.0,7.425743,48.0003,2.004953,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
