@relation data_417

@attribute col_1 numeric
@attribute col_2 numeric
@attribute binaryClass {P,N}

@data
1,0,P
2,0,P
3,0,P
4,0,P
5,0,P
6,26,P
7,42,P
8,143,N
9,244,P
10,137,N
11,175,N
12,181,N
13,105,N
14,190,N
15,203,N
16,202,N
17,202,N
18,162,N
19,121,N
20,121,N
21,272,N
22,248,N
23,100,N
24,230,N
25,208,N
26,198,N
27,204,N
28,222,N
29,303,N
30,379,N
31,371,N
32,155,N
33,259,N
34,384,N
35,465,N
36,383,N
37,482,N
38,157,N
39,293,N
40,211,N
41,215,N
42,93,N
43,251,N
44,286,N
45,258,N
46,262,N
47,192,N
48,298,N
49,176,N
50,95,N
51,105,N
52,86,N
53,177,N
54,184,N
55,145,N
56,129,N
57,81,N
58,167,N
59,148,N
60,128,N
61,241,N
62,51,N
63,163,N
64,119,N
65,125,N
66,253,N
67,123,N
68,102,P
69,39,P
70,111,P
71,102,P
72,129,P
73,196,P
74,128,N
75,198,P
76,95,P
77,166,N
78,61,P
79,133,P
80,144,P
81,167,P
82,100,P
83,97,P
84,154,P
85,126,P
86,207,P
87,154,P
88,199,N
89,187,N
90,136,N
91,150,P
92,132,N
93,138,N
94,128,N
95,125,N
96,151,N
97,144,P
98,220,P
99,172,N
100,167,N
101,165,N
102,114,P
103,158,P
104,73,P
105,144,P
106,32,P
107,130,N
108,161,N
109,169,N
110,142,N
111,137,N
112,139,N
113,149,P
114,135,P
115,160,P
116,290,N
117,135,N
118,173,N
119,100,P
120,137,N
121,120,N
122,100,N
123,140,P
124,132,N
125,178,N
126,139,P
127,142,P
128,107,P
129,72,P
130,55,N
131,258,P
132,49,P
133,164,P
134,42,P
135,70,P
136,57,P
137,45,N
138,72,P
139,19,N
140,8,N
141,47,P
142,78,P
143,75,N
144,148,N
145,126,P
146,43,N
147,133,P
148,84,N
149,10,P
150,117,P
151,41,P
152,23,P
153,4,P
154,127,P
155,134,P
156,94,P
157,113,P
158,132,P
159,120,P
160,114,P
161,94,P
162,96,P
163,68,P
164,40,P
165,126,P
166,95,P
167,124,P
168,60,P
169,107,P
170,24,P
171,90,P
172,169,P
173,129,P
174,62,P
175,107,P
176,62,P
177,84,P
178,61,P
179,86,P
180,179,P
181,61,P
182,72,P
183,113,P
184,91,P
185,227,P
186,44,P
187,80,P
188,65,P
189,49,P
190,110,P
191,46,P
192,78,N
193,54,P
194,149,P
195,108,P
196,252,P
197,167,P
198,81,P
199,53,P
200,102,P
201,6,P
202,109,P
203,69,P
204,213,P
205,168,P
206,93,P
207,110,P
208,81,P
209,121,N
210,68,P
211,131,P
212,96,P
213,339,P
214,59,P
215,114,P
216,127,P
217,155,P
218,195,P
219,185,P
220,23,N
221,60,P
222,126,N
223,102,P
224,165,N
225,189,N
226,182,N
227,270,N
228,252,N
