@relation data_121

@attribute col_1 numeric
@attribute col_2 numeric
@attribute col_3 numeric
@attribute col_4 numeric
@attribute binaryClass {P,N}

@data
134.5,19.1,623,5.74,P
108,20,623,5.5,P
68.6,19.9,623,5.44,P
49.5,20,623,5.55,P
41.7,20,623,5.45,P
29.4,19.9,623,6.31,P
22.5,20,623,5.39,P
17.2,19.9,623,5.6,P
17,19.7,623,5.61,P
22.8,20,623,5.54,P
41.3,20,623,5.52,P
59.6,20,623,5.53,P
119.7,20,623,5.5,P
158.2,20,623,5.48,P
23.3,20,648,5.65,P
40.8,20,648,5.95,P
140.3,20,648,5.98,N
140.8,19.9,648,5.96,N
141.2,20,648,5.64,N
140,19.7,648,5.56,N
121.2,19.96,648,6.06,N
104.7,19.7,648,5.63,N
40.8,20,648,6.09,P
22.6,20,648,5.88,P
55.2,20,648,5.64,P
55.4,20,648,5.64,P
29.5,20,648,5.63,P
30,20,648,5.64,P
16.3,20,648,5.61,P
16.5,20,648,5.63,P
20.4,12.5,648,5.7,P
20.5,16.6,648,5.67,P
20.8,20,648,5.63,P
21.3,30,648,5.63,P
19.6,43.3,648,5.62,P
20.6,20,648,5.72,P
20.5,30,648,5.43,P
20.3,42.7,648,5.6,N
16,19.1,673,5.88,N
23.5,20,673,6.01,N
132.8,20,673,6.48,N
107.7,20,673,6.26,N
68.5,20,673,6.4,N
47.2,19.7,673,5.82,N
42.5,20.3,673,5.86,N
30.1,20,673,5.87,N
11.2,20,673,5.87,P
17.1,20,673,5.84,N
65.8,20,673,5.85,N
108.2,20,673,5.86,N
123.5,20,673,5.85,N
160,20,673,5.81,N
66.4,20,673,5.87,N
66.5,20,673,5.88,N
