134.5,19.1,623.0,5.74
108.0,20.0,623.0,5.5
68.6,19.9,623.0,5.44
49.5,20.0,623.0,5.55
41.7,20.0,623.0,5.45
29.4,19.9,623.0,6.31
22.5,20.0,623.0,5.39
17.2,19.9,623.0,5.6
17.0,19.7,623.0,5.61
22.8,20.0,623.0,5.54
41.3,20.0,623.0,5.52
59.6,20.0,623.0,5.53
119.7,20.0,623.0,5.5
158.2,20.0,623.0,5.48
23.3,20.0,648.0,5.65
40.8,20.0,648.0,5.95
140.3,20.0,648.0,5.98
140.8,19.9,648.0,5.96
141.2,20.0,648.0,5.64
140.0,19.7,648.0,5.56
121.2,19.96,648.0,6.06
104.7,19.7,648.0,5.63
40.8,20.0,648.0,6.09
22.6,20.0,648.0,5.88
55.2,20.0,648.0,5.64
55.4,20.0,648.0,5.64
29.5,20.0,648.0,5.63
30.0,20.0,648.0,5.64
16.3,20.0,648.0,5.61
16.5,20.0,648.0,5.63
20.4,12.5,648.0,5.7
20.5,16.6,648.0,5.67
20.8,20.0,648.0,5.63
21.3,30.0,648.0,5.63
19.6,43.3,648.0,5.62
20.6,20.0,648.0,5.72
20.5,30.0,648.0,5.43
20.3,42.7,648.0,5.6
16.0,19.1,673.0,5.88
23.5,20.0,673.0,6.01
132.8,20.0,673.0,6.48
107.7,20.0,673.0,6.26
68.5,20.0,673.0,6.4
47.2,19.7,673.0,5.82
42.5,20.3,673.0,5.86
30.1,20.0,673.0,5.87
11.2,20.0,673.0,5.87
17.1,20.0,673.0,5.84
65.8,20.0,673.0,5.85
108.2,20.0,673.0,5.86
123.5,20.0,673.0,5.85
160.0,20.0,673.0,5.81
66.4,20.0,673.0,5.87
66.5,20.0,673.0,5.88
