31.0,28.0,24.0
30.0,23.0,23.0
29.0,24.0,18.0
28.0,28.0,23.0
27.0,22.0,30.0
26.0,25.0,24.0
30.0,26.0,24.0
28.0,30.0,21.0
33.0,22.0,18.0
33.0,22.0,22.0
22.0,23.0,23.0
30.0,25.0,20.0
32.0,23.0,23.0
29.0,18.0,25.0
25.0,27.0,27.0
24.0,22.0,14.0
27.0,23.0,24.0
26.0,22.0,24.0
24.0,23.0,25.0
31.0,12.0,19.0
27.0,23.0,17.0
28.0,20.0,18.0
21.0,20.0,17.0
19.0,22.0,18.0
34.0,14.0,22.0
24.0,20.0,23.0
25.0,17.0,19.0
25.0,26.0,19.0
20.0,19.0,22.0
22.0,23.0,23.0
26.0,13.0,22.0
29.0,16.0,21.0
25.0,17.0,18.0
22.0,17.0,15.0
24.0,16.0,10.0
13.0,20.0,12.0
