1.5,7.8,66.3,4.5,7.9,70.2,5.5,7.9,72.3,0.3,7.3,81.0,0.02,,58.8,95.5,,70.0,,79.4,87.3
3.0,7.7,69.2,6.5,7.7,75.4,7.7,7.6,79.2,0.4,7.5,94.1,0.0,,60.7,94.8,,80.8,,79.5,92.1
5.0,7.6,69.9,3.4,7.7,72.7,4.5,7.7,78.3,0.2,7.6,81.0,0.05,,58.2,95.6,,52.9,,75.8,88.7
3.5,7.9,65.6,4.5,7.8,73.1,8.5,7.8,77.1,0.4,7.6,96.7,0.0,33.1,64.2,95.3,87.3,72.3,90.2,82.3,89.6
1.5,8.0,64.8,4.0,7.9,57.6,4.5,7.8,68.2,0.2,7.6,65.9,0.02,,62.7,95.6,,71.0,92.1,78.2,87.5
3.0,7.8,68.8,4.5,7.8,66.1,8.5,7.7,76.0,0.3,7.5,82.1,0.0,,59.7,96.5,86.7,78.3,90.1,73.1,84.9
6.0,7.8,64.1,5.0,7.8,67.5,6.5,7.8,72.1,0.4,7.5,84.6,0.05,,61.9,93.8,89.1,79.8,,86.2,90.1
5.0,7.7,40.7,6.0,7.6,53.9,8.0,7.6,71.1,0.4,7.5,66.7,0.0,,70.4,95.6,90.6,53.7,92.1,66.9,94.6
2.5,7.7,69.1,4.5,7.7,61.8,4.0,7.7,77.4,0.3,7.5,84.2,0.03,46.1,43.6,92.5,85.6,58.2,92.2,73.8,90.2
2.0,7.8,69.0,5.0,7.8,66.1,6.5,7.8,78.0,0.6,7.6,87.0,0.02,21.2,59.7,90.8,88.4,66.1,89.0,69.0,86.5
0.7,7.9,67.0,5.5,8.1,62.5,5.0,7.7,71.2,0.4,7.6,79.6,3.5,0.6,45.8,92.0,11.6,25.7,19.6,36.0,43.0
1.5,7.7,33.8,3.5,7.6,31.3,4.2,7.6,51.9,0.3,7.4,73.9,2.0,31.8,61.2,92.9,,,,,18.5
0.7,7.6,58.6,1.2,7.9,64.7,3.0,7.7,82.9,0.3,7.5,78.8,0.06,46.6,48.5,91.7,,20.4,26.3,31.7,10.3
,8.1,67.8,3.0,7.8,74.4,2.5,7.8,79.5,0.4,7.6,87.8,0.0,41.1,50.0,84.0,76.5,52.9,84.3,54.1,43.7
3.5,7.6,57.4,2.5,7.6,63.6,2.0,7.6,81.8,0.2,7.5,82.9,0.02,32.7,33.3,90.0,82.6,61.3,87.0,71.4,78.2
1.5,7.8,58.9,5.5,7.7,71.9,5.5,7.7,88.6,0.4,7.6,85.0,0.0,28.0,72.7,92.7,78.8,36.6,85.9,60.4,90.7
1.2,7.4,61.1,7.0,7.4,57.4,6.5,7.4,73.3,0.5,7.3,82.5,0.0,49.8,58.3,92.3,89.9,96.8,94.4,98.1,92.1
1.2,7.8,63.4,4.0,7.7,65.3,6.0,7.7,80.5,1.3,7.5,82.7,0.03,,39.6,78.3,85.5,70.4,91.3,73.4,89.4
1.2,7.6,61.3,5.5,7.7,70.0,5.0,7.6,84.3,0.4,7.5,84.2,0.02,35.3,57.5,92.0,75.6,49.3,80.8,60.8,76.1
3.0,7.6,57.0,7.0,7.5,58.1,5.5,7.5,65.9,0.4,7.5,68.0,0.0,20.1,64.5,93.6,86.9,68.1,87.4,72.2,88.3
8.5,7.5,55.0,3.8,7.5,67.4,4.0,7.5,85.4,0.4,7.1,94.1,0.0,29.4,55.4,91.3,85.2,68.0,88.4,81.4,92.9
1.2,7.7,74.0,4.0,7.6,71.7,3.5,7.5,78.3,0.3,7.6,78.3,0.01,28.1,50.0,91.4,85.2,76.5,87.8,82.5,88.5
3.0,7.8,49.4,6.0,7.7,49.4,6.5,7.7,72.2,0.6,7.6,69.7,0.0,52.0,64.9,90.8,87.6,71.2,90.3,77.6,92.5
1.0,7.6,69.0,3.5,7.8,72.1,6.0,7.8,78.3,0.3,7.9,85.0,0.0,26.7,66.2,95.0,89.2,72.5,91.1,78.7,88.1
3.0,8.0,66.7,4.5,8.0,61.7,6.0,8.0,78.6,0.4,7.8,81.0,0.0,34.3,65.0,94.2,89.3,69.7,89.7,78.1,89.1
1.4,7.9,64.9,4.6,7.6,64.7,7.5,7.8,81.8,0.2,7.8,81.8,0.0,27.2,67.6,97.3,90.4,68.0,91.4,78.0,90.4
7.5,7.9,62.3,3.5,7.9,65.2,4.7,7.8,73.9,0.5,7.5,75.0,0.05,,50.0,89.4,,76.6,,79.5,90.6
4.25,7.8,76.5,2.5,7.8,74.5,2.0,7.8,69.4,0.4,7.5,83.3,0.0,6.8,47.9,80.0,84.6,78.9,80.0,80.8,82.4
