1.0,0.0,3.0,1.0,1.0,1.0,0.0,2672.0,1,0,1,0,0,0,1
2.0,0.0,1.0,1.0,2.0,2.0,1.0,819.0,1,0,1,0,0,0,1
3.0,0.0,2.0,0.0,3.0,2.0,2.0,518.0,0,1,1,0,0,1,0
4.0,0.0,0.0,0.0,1.0,1.0,0.0,2590.0,0,1,1,0,0,0,1
5.0,0.0,1.0,1.0,1.0,1.0,0.0,3862.0,0,1,1,0,0,0,1
6.0,0.0,1.0,3.0,1.0,1.0,0.0,561.0,1,0,1,0,0,0,1
7.0,0.0,3.0,0.0,3.0,3.0,2.0,321.0,0,1,1,0,0,0,1
8.0,0.0,3.0,1.0,3.0,3.0,,12.0,1,0,0,1,0,1,0
9.0,0.0,3.0,3.0,3.0,3.0,2.0,487.0,1,0,0,1,0,1,0
10.0,0.0,3.0,0.0,1.0,2.0,0.0,669.0,1,0,1,0,0,1,0
11.0,0.0,1.0,2.0,3.0,3.0,2.0,155.0,0,1,1,0,0,0,1
12.0,0.0,3.0,1.0,3.0,1.0,,65.0,1,0,0,1,0,1,0
13.0,0.0,3.0,0.0,3.0,1.0,2.0,2336.0,1,0,1,0,0,0,1
14.0,0.0,3.0,3.0,3.0,2.0,2.0,592.0,1,0,1,0,0,1,0
15.0,0.0,3.0,3.0,3.0,3.0,2.0,154.0,0,1,1,0,0,0,1
16.0,0.0,1.0,0.0,2.0,2.0,1.0,400.0,1,0,1,0,0,0,1
17.0,0.0,1.0,1.0,1.0,2.0,0.0,2009.0,0,1,1,0,0,0,1
18.0,0.0,1.0,0.0,1.0,1.0,0.0,1734.0,1,0,1,0,0,0,1
19.0,0.0,1.0,1.0,3.0,2.0,2.0,815.0,0,1,1,0,0,0,1
20.0,0.0,0.0,0.0,1.0,1.0,0.0,675.0,0,1,1,0,0,0,1
21.0,0.0,3.0,1.0,3.0,2.0,,974.0,1,0,0,1,0,1,0
22.0,0.0,1.0,1.0,1.0,1.0,0.0,1633.0,1,0,1,0,0,0,1
23.0,0.0,1.0,0.0,1.0,1.0,0.0,3624.0,1,0,1,0,0,0,1
24.0,0.0,1.0,1.0,1.0,2.0,0.0,2141.0,1,0,1,0,0,0,1
