1.0,1.0,101.0,40.31,40.91,39.91,37.63,37.91,37.47,0.933,0.927,0.939,40.3,37.21
2.0,1.0,103.0,42.01,42.02,41.67,43.81,43.71,43.43,1.043,1.04,1.042,41.49,43.28
3.0,8.0,207.0,52.09,53.42,52.37,60.53,61.98,61.02,1.162,1.16,1.165,52.74,61.3
4.0,2.0,501.0,42.38,44.17,41.83,48.93,50.66,48.5,1.155,1.147,1.159,42.04,48.63
5.0,2.0,502.0,47.13,47.67,47.31,55.79,56.23,55.88,1.184,1.18,1.181,48.05,56.31
6.0,2.0,503.0,48.07,48.05,47.19,44.21,44.18,43.55,0.92,0.919,0.923,46.87,43.03
7.0,2.0,504.0,52.68,52.44,50.77,62.16,61.83,60.7,1.18,1.179,1.196,50.21,59.94
8.0,2.0,505.0,41.24,35.95,40.91,47.91,42.38,47.8,1.162,1.179,1.169,40.37,46.84
9.0,2.0,506.0,48.31,42.57,48.77,48.5,42.25,48.52,1.004,0.992,0.995,47.75,47.71
10.0,2.0,507.0,39.92,40.35,39.49,33.6,33.73,33.24,0.842,0.836,0.842,39.35,32.92
11.0,2.0,509.0,38.41,39.38,38.37,41.19,41.53,41.12,1.072,1.054,1.072,37.85,40.49
12.0,2.0,510.0,42.25,42.77,41.73,40.35,40.64,39.94,0.955,0.95,0.957,41.58,39.72
13.0,2.0,604.0,40.73,41.06,40.95,40.67,40.98,40.71,0.998,0.998,0.994,40.66,40.43
14.0,1.0,702.0,48.53,49.51,47.55,48.09,48.73,47.19,0.991,0.984,0.992,48.81,48.07
15.0,6.0,801.0,56.05,56.9,55.75,66.35,67.16,66.13,1.184,1.18,1.186,55.43,65.53
16.0,6.0,804.0,55.25,55.25,55.24,49.49,49.49,49.49,0.896,0.896,0.896,54.91,48.87
17.0,6.0,805.0,47.58,48.16,47.61,42.05,42.26,41.97,0.884,0.877,0.882,47.2,41.41
18.0,1.0,902.0,51.99,52.81,52.22,64.13,64.76,64.17,1.234,1.226,1.229,52.28,64.59
19.0,1.0,904.0,44.65,45.25,44.91,43.08,43.44,43.28,0.965,0.96,0.964,44.95,43.29
20.0,4.0,1001.0,45.07,45.4,45.24,48.8,48.89,48.83,1.083,1.077,1.079,44.94,48.35
21.0,4.0,1002.0,43.55,45.25,45.01,42.36,43.77,43.41,0.973,0.967,0.965,45.25,43.52
22.0,4.0,1003.0,41.38,40.59,41.15,44.79,44.17,44.54,1.082,1.088,1.083,40.26,43.85
23.0,4.0,1004.0,43.18,43.74,43.25,43.51,43.8,43.36,1.008,1.001,1.003,43.18,43.53
24.0,4.0,1005.0,48.21,40.47,45.62,50.48,41.97,47.6,1.047,1.037,1.043,47.77,49.69
25.0,4.0,1006.0,47.97,48.88,48.19,58.99,59.69,59.3,1.23,1.221,1.23,48.4,59.49
26.0,4.0,1007.0,39.29,39.9,46.97,43.13,43.63,52.25,1.098,1.093,1.113,39.16,42.58
27.0,4.0,1008.0,45.7,45.76,45.7,48.95,48.8,48.95,1.071,1.066,1.071,41.75,42.67
28.0,4.0,1009.0,39.28,39.45,40.35,39.7,39.82,40.18,1.011,1.009,0.996,39.41,39.69
29.0,3.0,1102.0,59.44,59.85,60.02,76.49,76.98,76.73,1.287,1.286,1.278,61.35,78.73
30.0,3.0,1103.0,64.73,64.79,66.11,74.92,74.83,75.58,1.157,1.155,1.143,65.01,74.82
31.0,3.0,1104.0,59.07,60.03,58.98,50.04,50.68,50.04,0.847,0.844,0.848,60.74,50.4
32.0,3.0,1105.0,54.27,54.9,54.49,56.44,56.76,56.64,1.04,1.034,1.039,54.34,56.11
33.0,3.0,1107.0,61.63,62.0,60.91,56.22,56.31,55.77,0.912,0.908,0.916,61.92,56.1
34.0,5.0,1209.0,58.92,59.61,46.77,81.7,82.58,65.98,1.387,1.385,1.411,59.76,82.25
35.0,5.0,1210.0,56.39,56.21,56.39,65.15,64.9,65.15,1.155,1.155,1.155,57.22,66.08
