184.0,0,1,0,1
30.0,1,0,0,1
116.0,1,0,0,1
133.0,0,1,0,1
184.0,1,0,1,0
57.0,1,0,1,0
111.0,1,0,1,0
98.0,1,0,0,1
138.0,1,0,0,1
265.0,0,1,0,1
135.0,0,1,0,1
217.0,1,0,1,0
245.0,0,1,0,1
95.0,1,0,0,1
236.0,1,0,1,0
226.0,1,0,1,0
145.0,1,0,1,0
194.0,1,0,1,0
103.0,1,0,1,0
101.0,1,0,1,0
105.0,1,0,1,0
187.0,1,0,1,0
30.0,1,0,1,0
117.0,1,0,1,0
244.0,1,0,1,0
30.0,1,0,1,0
59.0,1,0,1,0
78.0,1,0,1,0
139.0,1,0,0,1
193.0,1,0,0,1
30.0,1,0,0,1
214.0,0,1,0,1
235.0,1,0,0,1
137.0,0,1,0,1
123.0,0,1,0,1
75.0,0,1,0,1
185.0,0,1,0,1
30.0,1,0,0,1
91.0,1,0,0,1
138.0,0,1,0,1
205.0,0,1,0,1
47.0,1,0,1,0
80.0,1,0,1,0
105.0,1,0,1,0
246.0,1,0,1,0
30.0,1,0,1,0
103.0,1,0,1,0
58.0,1,0,1,0
141.0,1,0,0,1
89.0,1,0,0,1
92.0,1,0,1,0
210.0,0,1,0,1
210.0,0,1,0,1
155.0,0,1,0,1
100.0,1,0,0,1
253.0,0,1,1,0
42.0,0,1,1,0
174.0,0,1,0,1
81.0,0,1,0,1
269.0,0,1,0,1
240.0,0,1,0,1
245.0,0,1,0,1
300.0,1,0,0,1
230.0,0,1,0,1
78.0,0,1,0,1
42.0,0,1,0,1
258.0,0,1,1,0
207.0,0,1,1,0
188.0,1,0,0,1
30.0,0,1,1,0
230.0,0,1,0,1
235.0,0,1,0,1
30.0,1,0,0,1
211.0,0,1,0,1
210.0,0,1,0,1
155.0,0,1,0,1
130.0,1,0,0,1
215.0,0,1,0,1
260.0,0,1,0,1
184.0,1,0,1,0
60.0,0,1,1,0
79.0,1,0,1,0
247.0,0,1,0,1
