10249.0,2.0,1.2,7.0,0.6,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
10253.0,1.0,0.899,8.0,2.6,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
10254.0,1.0,0.913,9.0,-0.6,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
10256.0,2.0,1.146,10.0,-2.6,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
10260.0,2.0,0.81,5.0,-1.0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
10262.0,2.0,0.81,3.0,-1.0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
10280.0,2.0,0.56,9.0,0.3,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
10281.0,2.0,0.751,7.0,-2.2,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
10284.0,2.0,0.791,9.0,-1.8,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
10288.0,0.0,1.146,7.0,-3.0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
10294.0,1.0,0.81,9.0,-0.7,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
10311.0,2.0,0.81,9.0,-1.0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
10314.0,0.0,0.899,0.0,2.5,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
10316.0,2.0,0.595,7.0,0.1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1
10324.0,1.0,0.592,11.0,1.4,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
10326.0,1.0,1.317,8.0,1.9,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1
10338.0,2.0,1.502,8.0,-2.4,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1
10341.0,1.0,0.592,0.0,1.4,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0
10343.0,2.0,0.456,11.0,-0.7,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1
10344.0,2.0,0.376,5.0,-1.8,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1
