1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,4.0,9.0,59.0,12.0
5.0,0.0,0.0,0.0,0.0,5.0,10.0,228.0,28.0
6.0,4.0,26.0,5.0,1.0,6.0,13.0,260.0,35.0
7.0,10.0,42.0,11.0,1.0,7.0,9.0,255.0,22.0
8.0,9.0,143.0,17.0,0.0,8.0,10.0,538.0,35.0
9.0,13.0,244.0,33.0,0.0,9.0,10.0,228.0,27.0
10.0,9.0,137.0,25.0,1.0,10.0,10.0,485.0,34.0
11.0,11.0,175.0,37.0,1.0,11.0,10.0,426.0,27.0
12.0,10.0,181.0,27.0,0.0,12.0,11.0,693.0,33.0
13.0,8.0,105.0,21.0,0.0,13.0,14.0,541.0,33.0
14.0,9.0,190.0,34.0,1.0,14.0,10.0,509.0,30.0
15.0,9.0,203.0,32.0,1.0,15.0,7.0,462.0,28.0
16.0,7.0,202.0,21.0,0.0,16.0,10.0,813.0,36.0
17.0,7.0,202.0,17.0,0.0,17.0,11.0,873.0,33.0
18.0,8.0,162.0,21.0,1.0,18.0,13.0,756.0,36.0
19.0,6.0,121.0,12.0,1.0,19.0,10.0,720.0,34.0
20.0,4.0,121.0,11.0,0.0,20.0,9.0,497.0,28.0
21.0,10.0,272.0,33.0,0.0,21.0,7.0,644.0,20.0
22.0,7.0,248.0,25.0,1.0,22.0,5.0,371.0,16.0
23.0,5.0,100.0,11.0,1.0,23.0,7.0,513.0,22.0
24.0,7.0,230.0,28.0,0.0,24.0,10.0,470.0,21.0
25.0,7.0,208.0,16.0,0.0,25.0,12.0,688.0,39.0
26.0,8.0,198.0,17.0,1.0,26.0,10.0,737.0,33.0
27.0,12.0,204.0,25.0,1.0,27.0,11.0,805.0,34.0
28.0,8.0,222.0,22.0,0.0,28.0,8.0,450.0,12.0
