1.0,0.057,0.0
2.0,0.064,0.0
3.0,0.064,0.0
4.0,0.066,1.0
5.0,0.462,0.0
6.0,0.086,0.0
7.0,0.114,0.0
8.0,0.117,0.0
9.0,0.118,0.0
10.0,0.119,0.0
11.0,0.126,0.0
12.0,0.231,1.0
13.0,0.261,1.0
14.0,0.211,1.0
15.0,0.216,1.0
16.0,0.218,0.0
17.0,0.648,1.0
18.0,0.143,0.0
19.0,0.144,2.0
20.0,0.21,1.0
21.0,0.244,0.0
22.0,0.53,3.0
23.0,0.796,2.0
24.0,1.622,4.0
25.0,0.561,2.0
26.0,0.762,0.0
27.0,1.222,1.0
28.0,0.513,4.0
29.0,0.532,0.0
30.0,0.936,1.0
31.0,0.503,1.0
32.0,0.564,0.0
33.0,0.572,2.0
34.0,0.583,0.0
35.0,0.722,0.0
36.0,0.771,2.0
37.0,1.873,4.0
38.0,0.532,0.0
39.0,0.584,0.0
40.0,0.672,2.0
41.0,0.722,1.0
42.0,0.904,1.0
43.0,1.236,0.0
44.0,0.95,0.0
45.0,1.405,1.0
46.0,0.776,3.0
47.0,1.013,0.0
48.0,0.739,0.0
49.0,1.77,1.0
50.0,0.821,0.0
51.0,1.115,2.0
52.0,1.164,3.0
53.0,1.164,0.0
54.0,1.303,0.0
55.0,1.774,3.0
56.0,3.585,1.0
57.0,1.193,1.0
58.0,1.213,1.0
59.0,1.232,1.0
60.0,1.517,4.0
61.0,1.52,3.0
62.0,1.862,3.0
63.0,1.888,1.0
64.0,1.247,0.0
65.0,1.381,2.0
66.0,1.643,2.0
67.0,1.66,4.0
68.0,1.827,4.0
69.0,1.486,3.0
70.0,1.593,2.0
71.0,2.265,4.0
72.0,1.524,1.0
73.0,1.759,3.0
74.0,1.309,0.0
75.0,1.529,4.0
76.0,1.677,1.0
77.0,1.654,2.0
78.0,1.785,3.0
79.0,1.979,4.0
80.0,1.767,4.0
81.0,2.465,2.0
82.0,1.75,2.0
83.0,2.458,4.0
84.0,2.383,2.0
85.0,2.717,3.0
86.0,2.282,0.0
87.0,2.115,0.0
88.0,2.852,2.0
89.0,2.856,5.0
90.0,3.174,5.0
91.0,2.369,1.0
92.0,2.557,1.0
93.0,3.859,3.0
94.0,2.641,1.0
95.0,2.741,1.0
96.0,3.055,3.0
97.0,3.513,1.0
98.0,2.728,2.0
99.0,3.354,6.0
100.0,3.814,0.0
101.0,4.014,2.0
102.0,2.612,2.0
103.0,2.815,1.0
104.0,4.294,2.0
105.0,3.45,8.0
106.0,3.628,6.0
107.0,4.219,1.0
108.0,3.932,6.0
109.0,4.082,4.0
110.0,4.203,1.0
111.0,4.022,3.0
112.0,4.636,5.0
113.0,5.571,2.0
114.0,6.436,4.0
115.0,5.344,3.0
116.0,4.445,4.0
117.0,4.705,5.0
118.0,5.039,2.0
119.0,6.043,6.0
120.0,5.121,8.0
121.0,11.26,5.0
122.0,5.789,0.0
123.0,6.044,6.0
124.0,5.569,8.0
125.0,6.13,7.0
126.0,6.249,3.0
127.0,7.002,3.0
128.0,7.851,9.0
129.0,9.573,7.0
130.0,12.05,18.0
131.0,12.131,17.0
