1.0,2.2,5.5,2.4
2.0,2.2,4.5,2.4
3.0,2.3,5.1,2.4
4.0,2.0,5.5,2.2
5.0,1.6,5.7,2.1
6.0,1.4,5.1,1.5
7.0,1.8,4.3,2.3
8.0,2.2,4.8,2.3
9.0,2.9,5.6,2.5
10.0,2.6,5.9,2.0
11.0,2.4,6.0,1.9
12.0,2.1,5.1,1.7
13.0,3.0,5.2,2.2
14.0,2.5,4.4,1.8
15.0,2.7,5.5,3.2
16.0,2.2,5.4,3.2
17.0,2.4,4.1,2.7
18.0,2.7,4.4,2.2
19.0,3.1,4.7,2.2
20.0,2.5,4.6,1.9
21.0,2.4,6.0,1.9
22.0,2.3,5.6,1.8
23.0,2.4,5.1,2.7
24.0,1.9,4.7,3.0
25.0,3.3,4.8,2.3
26.0,3.8,5.5,2.0
27.0,3.7,5.1,2.0
28.0,3.5,5.2,2.9
29.0,3.1,5.0,2.9
30.0,2.7,4.0,2.7
31.0,4.1,3.7,2.7
32.0,4.0,4.8,2.3
33.0,3.4,5.9,2.6
34.0,3.2,5.5,2.4
35.0,3.7,4.9,1.8
36.0,3.6,4.4,1.7
37.0,4.1,4.7,1.5
38.0,2.0,4.2,1.4
39.0,4.6,5.5,2.1
40.0,4.1,4.9,3.3
41.0,3.2,4.8,3.5
42.0,2.9,4.5,3.5
43.0,2.7,4.9,3.1
44.0,3.0,4.9,2.6
45.0,0.0,4.5,2.1
46.0,0.0,4.2,3.4
47.0,0.0,4.9,3.0
48.0,0.0,5.9,2.9
