194.0,1.0,1,0,1,0,1,0
233.0,2.0,1,0,1,0,1,0
265.0,3.0,1,0,1,0,1,0
208.0,1.0,1,0,1,0,0,1
241.0,2.0,1,0,1,0,0,1
269.0,3.0,1,0,1,0,0,1
239.0,1.0,1,0,0,1,1,0
224.0,2.0,1,0,0,1,1,0
243.0,3.0,1,0,0,1,1,0
187.0,1.0,1,0,0,1,0,1
243.0,2.0,1,0,0,1,0,1
226.0,3.0,1,0,0,1,0,1
155.0,1.0,0,1,1,0,1,0
198.0,2.0,0,1,1,0,1,0
235.0,3.0,0,1,1,0,1,0
173.0,1.0,0,1,1,0,0,1
177.0,2.0,0,1,1,0,0,1
229.0,3.0,0,1,1,0,0,1
137.0,1.0,0,1,0,1,1,0
129.0,2.0,0,1,0,1,1,0
155.0,3.0,0,1,0,1,1,0
160.0,1.0,0,1,0,1,0,1
98.0,2.0,0,1,0,1,0,1
132.0,3.0,0,1,0,1,0,1
192.0,1.0,1,0,1,0,1,0
217.0,2.0,1,0,1,0,1,0
252.0,3.0,1,0,1,0,1,0
188.0,1.0,1,0,1,0,0,1
222.0,2.0,1,0,1,0,0,1
283.0,3.0,1,0,1,0,0,1
127.0,1.0,1,0,0,1,1,0
123.0,2.0,1,0,0,1,1,0
117.0,3.0,1,0,0,1,1,0
105.0,1.0,1,0,0,1,0,1
123.0,2.0,1,0,0,1,0,1
125.0,3.0,1,0,0,1,0,1
169.0,1.0,0,1,1,0,1,0
187.0,2.0,0,1,1,0,1,0
225.0,3.0,0,1,1,0,1,0
152.0,1.0,0,1,1,0,0,1
196.0,2.0,0,1,1,0,0,1
270.0,3.0,0,1,1,0,0,1
82.0,1.0,0,1,0,1,1,0
94.0,2.0,0,1,0,1,1,0
76.0,3.0,0,1,0,1,1,0
82.0,1.0,0,1,0,1,0,1
89.0,2.0,0,1,0,1,0,1
105.0,3.0,0,1,0,1,0,1
141.0,1.0,1,0,1,0,1,0
171.0,2.0,1,0,1,0,1,0
207.0,3.0,1,0,1,0,1,0
165.0,1.0,1,0,1,0,0,1
201.0,2.0,1,0,1,0,0,1
191.0,3.0,1,0,1,0,0,1
90.0,1.0,1,0,0,1,1,0
79.0,2.0,1,0,0,1,1,0
100.0,3.0,1,0,0,1,1,0
85.0,1.0,1,0,0,1,0,1
110.0,2.0,1,0,0,1,0,1
75.0,3.0,1,0,0,1,0,1
151.0,1.0,0,1,1,0,1,0
176.0,2.0,0,1,1,0,1,0
166.0,3.0,0,1,1,0,1,0
141.0,1.0,0,1,1,0,0,1
167.0,2.0,0,1,1,0,0,1
183.0,3.0,0,1,1,0,0,1
77.0,1.0,0,1,0,1,1,0
78.0,2.0,0,1,0,1,1,0
91.0,3.0,0,1,0,1,1,0
83.0,1.0,0,1,0,1,0,1
48.0,2.0,0,1,0,1,0,1
67.0,3.0,0,1,0,1,0,1
